Logistic Regression Coefficients,DeepLIFT Attributions
0.04488457,0.09509554
-0.05049472,-0.09754682
0.051267818,0.09871158
0.17660366,0.17356166
0.023678185,-0.071660236
0.16849576,0.101302005
-0.3500799,-0.4313411
-0.15555051,-0.06615585
-0.20517714,-0.06546734
0.08036688,0.13790308
-0.017503023,0.072074905
0.13663286,0.124013536
0.33081007,0.13381359
0.0031243856,0.044142373
0.105456784,0.065028355
0.06616837,0.04564981
-0.28186306,-0.18941063
0.009719127,0.022482373
-0.012744354,0.004953593
-0.18124703,-0.15953547
0.111639835,0.0284206
-0.06144774,0.0011135247
0.21864487,0.06047628
0.10982504,0.071931176
-0.072209254,0.058532305
-0.05492462,0.009639001
-0.1338531,-0.016332645
0.0096188765,0.019206546
-0.0013164873,-0.00670608
-0.05807243,-0.029354483
0.0415156,0.02590155
-0.10195294,-0.03004239
-0.028090551,-0.009349473
0.0013641845,0.0039796545
-0.10032103,-0.053231444
-0.102149114,-0.05538935
-0.052238654,-0.011545116
-0.050748546,-0.012152221
-0.09387044,-0.020799432
-0.038731858,-0.0076713157
-0.05361836,-0.0020018155
0.05449261,0.048245043
0.037014324,0.018509
-0.0476882,-0.012315004
-0.0031791867,-0.00095316995
0.06303543,0.015450929
0.06681106,0.016364632
0.027402727,0.007616623
-0.030499471,-0.0034705584
-0.08393165,-0.034318265
