stability,bin_center,density
high,-5.482374,0.0
high,-5.2572265,0.0
high,-5.0320787,0.0
high,-4.8069305,0.00017766113404310744
high,-4.581783,0.00026649113666687844
high,-4.356635,0.0007106445361724298
high,-4.131487,0.0010659668042586447
high,-3.9063392,0.002220761823878925
high,-3.6811914,0.002664917010646612
high,-3.4560437,0.004619184593668163
high,-3.2308955,0.0070176073634574026
high,-3.0057478,0.012791601651103735
high,-2.7806,0.014390536618735432
high,-2.555452,0.021585827786237556
high,-2.3303041,0.02833692087269508
high,-2.1051564,0.033133783955647256
high,-1.8800085,0.034999224875402205
high,-1.6548606,0.040062543302775803
high,-1.4297128,0.038374784634958754
high,-1.2045648,0.03855244567493542
high,-0.979417,0.046458361953896826
high,-0.7542691,0.05027806100300342
high,-0.5291213,0.05969410943215807
high,-0.30397344,0.06608989812314413
high,-0.07882555,0.07737137266835824
high,0.14632232,0.08554377942552123
high,0.3714702,0.10633011835134881
high,0.59661806,0.12187547342398938
high,0.8217659,0.13866440499238225
high,1.0469139,0.16104973273884313
high,1.2720616,0.1924069062947238
high,1.4972095,0.2313146740496125
high,1.7223574,0.25894082866428264
high,1.9475052,0.2927855489030411
high,2.1726532,0.3333807650007042
high,2.397801,0.3372893058107311
high,2.622949,0.34377429437341295
high,2.8480968,0.3118837905455562
high,3.0732446,0.26267198668273434
high,3.2983923,0.22420811373881624
high,3.5235405,0.1709986604386772
high,3.7486882,0.11885529867483889
high,3.973836,0.07639420674143502
high,4.198984,0.048412659026746775
high,4.424132,0.025405488362242414
high,4.6492796,0.011547973712801984
high,4.874428,0.004708020052142347
high,5.099575,0.0017766113404310744
high,5.3247232,0.00035532151555583795
high,5.5498714,8.883056702155372e-05
low,-5.482374,0.00017766113404310744
low,-5.2572265,0.00035532151555583795
low,-5.0320787,0.0015101196393664134
low,-4.8069305,0.0031090698457543805
low,-4.581783,0.007817073342228434
low,-4.356635,0.013679907321319275
low,-4.131487,0.030202392787328267
low,-3.9063392,0.05072220005739464
low,-3.6811914,0.0739070317619327
low,-3.4560437,0.11423598822033189
low,-3.2308955,0.15874005517086553
low,-3.0057478,0.20573159322191842
low,-2.7806,0.25743071062404493
low,-2.555452,0.30380053921371375
low,-2.3303041,0.3283174280422602
low,-2.1051564,0.31961221091801295
low,-1.8800085,0.30326739524016016
low,-1.6548606,0.2581413544076862
low,-1.4297128,0.2184342486513046
low,-1.2045648,0.2024447550534051
low,-0.979417,0.17917115881646253
low,-0.7542691,0.15785179223027754
low,-0.5291213,0.14266181510125872
low,-0.30397344,0.12196428779983451
low,-0.07882555,0.11414720307559166
low,0.14632232,0.10588596581019864
low,0.3714702,0.09291671160861391
low,0.59661806,0.08536612970878557
low,0.8217659,0.07923680285278985
low,1.0469139,0.07674956926991751
low,1.2720616,0.07070909391071105
low,1.4972095,0.06573458479136454
low,1.7223574,0.05862811215040361
low,1.9475052,0.04912330356291921
low,2.1726532,0.04654716782850226
low,2.397801,0.04308277938325115
low,2.622949,0.027803967477746314
low,2.8480968,0.025050193373354273
low,3.0732446,0.01723313000218142
low,3.2983923,0.012080944321901353
low,3.5235405,0.008350064457784757
low,3.7486882,0.00381971438192681
low,3.973836,0.003375557972295966
low,4.198984,0.0009771362372370908
low,4.424132,0.0007106430311116759
low,4.6492796,0.0002664917010646612
low,4.874428,0.0003553222680862149
low,5.099575,0.0
low,5.3247232,8.883037888895949e-05
low,5.5498714,0.0
