fpr,tpr
0.0,0.0
0.0004,0.01
0.0008,0.023
0.00118,0.03716
0.00162,0.05044
0.002,0.05996
0.00238,0.0681
0.00278,0.08064
0.0031,0.09266
0.00348,0.09974
0.00388,0.10698
0.00424,0.11702
0.00466,0.12496
0.00508,0.13006
0.0055,0.13644
0.00594,0.14404
0.00632,0.14946
0.00668,0.156
0.00708,0.16308
0.00746,0.1706
0.00788,0.17594
0.00826,0.18308
0.00866,0.1893
0.00912,0.19392
0.00954,0.19946
0.01,0.205
0.0104,0.20822
0.01078,0.21204
0.01122,0.21684
0.01162,0.22262
0.01206,0.22692
0.01246,0.23258
0.01288,0.23724
0.01328,0.24316
0.01368,0.24792
0.01406,0.25212
0.01442,0.25708
0.01486,0.26382
0.01528,0.27016
0.01566,0.27528
0.01608,0.28022
0.01642,0.28626
0.01682,0.29212
0.01722,0.29784
0.0176,0.30262
0.018,0.3074
0.0184,0.31158
0.01882,0.31762
0.01924,0.3218
0.0196,0.32516
0.02008,0.32916
0.02048,0.3359
0.0209,0.34102
0.02128,0.34468
0.0217,0.34952
0.02212,0.353
0.02262,0.35856
0.023,0.36166
0.02348,0.36532
0.02398,0.36822
0.0244,0.37214
0.0248,0.37596
0.02524,0.38044
0.02564,0.38464
0.02608,0.38896
0.02648,0.39166
0.02688,0.39654
0.02728,0.40066
0.0277,0.40308
0.0281,0.4066
0.02856,0.40938
0.02896,0.41224
0.02938,0.4176
0.0298,0.42194
0.03028,0.42578
0.03074,0.42874
0.03118,0.43156
0.03162,0.435
0.03212,0.43764
0.0326,0.44072
0.03302,0.44386
0.0334,0.44802
0.03384,0.45174
0.03424,0.45408
0.03466,0.45698
0.03508,0.4607
0.03554,0.46434
0.03596,0.46742
0.03646,0.4707
0.03688,0.47362
0.0374,0.47722
0.03786,0.47984
0.03828,0.48306
0.0388,0.4849
0.03924,0.48844
0.0397,0.49172
0.0402,0.4947
0.04062,0.49758
0.04102,0.50152
0.04142,0.50484
0.0418,0.50784
0.04228,0.5111
0.04274,0.51442
0.04324,0.51742
0.04366,0.52
0.04414,0.5224
0.04462,0.5255
0.04512,0.52748
0.0456,0.53098
0.04602,0.53264
0.04646,0.53464
0.0469,0.53798
0.04732,0.54072
0.0479,0.54408
0.04842,0.54584
0.04888,0.54822
0.04932,0.55116
0.04976,0.55436
0.05024,0.55742
0.0507,0.56044
0.05124,0.56262
0.05164,0.56582
0.0521,0.56844
0.05252,0.57122
0.05294,0.57408
0.05334,0.57646
0.05376,0.57822
0.05428,0.57992
0.05478,0.58194
0.05532,0.5839
0.05578,0.58648
0.0562,0.5887
0.05666,0.59158
0.0571,0.59374
0.05756,0.59664
0.05808,0.59888
0.05858,0.60042
0.059,0.60248
0.05948,0.60538
0.05994,0.6073
0.06042,0.60968
0.0609,0.61144
0.06132,0.61406
0.06176,0.61598
0.06222,0.61834
0.06264,0.6213
0.06318,0.62314
0.06364,0.6246
0.06416,0.6264
0.06474,0.62908
0.06518,0.63142
0.06562,0.63366
0.06616,0.63616
0.0667,0.6383
0.06714,0.64026
0.0676,0.64206
0.06818,0.64386
0.06862,0.64558
0.06912,0.64706
0.06962,0.64848
0.07014,0.6497
0.07066,0.65162
0.07118,0.65332
0.07174,0.6558
0.07216,0.65786
0.0728,0.66
0.0732,0.66156
0.07368,0.6633
0.07414,0.6654
