stability,bin_center,density
high,-9.5141325,0.0
high,-9.163882,0.0
high,-8.813633,0.0
high,-8.463383,0.0
high,-8.113132,0.0
high,-7.762882,0.0
high,-7.412632,0.0
high,-7.062382,0.0
high,-6.712132,0.0
high,-6.361882,5.710210788711647e-05
high,-6.011632,5.710203014725102e-05
high,-5.6613817,0.00022840812058900407
high,-5.3111315,0.0001713063236613494
high,-4.9608817,0.0005139182713252592
high,-4.6106315,0.0012562446632395224
high,-4.2603817,0.0016559611287263777
high,-3.9101315,0.003026407597804304
high,-3.5598812,0.00462526759038974
high,-3.2096314,0.0068522482820588745
high,-2.8593812,0.010164161366210681
high,-2.509131,0.014446823461340793
high,-2.1588812,0.02044254070814231
high,-1.808631,0.028722330939845366
high,-1.4583809,0.039114917276752745
high,-1.1081309,0.04979298723567625
high,-0.7578808,0.0742326770895785
high,-0.4076307,0.09735901110594718
high,-0.057380628,0.12682367370457986
high,0.29286945,0.15960025574259373
high,0.6431195,0.20254098710200083
high,0.9933696,0.24239828297783267
high,1.3436196,0.26609555105304056
high,1.6938697,0.28328336439411733
high,2.0441198,0.2631261549185327
high,2.39437,0.23109207331243553
high,2.7446198,0.20391148846026866
high,3.09487,0.1581727311775257
high,3.44512,0.12145601812320292
high,3.79537,0.0919914331866404
high,4.1456203,0.05915770323255206
high,4.4958706,0.03900073968690055
high,4.8461204,0.02421126078243443
high,5.1963706,0.014332609566960006
high,5.5466204,0.007822988780534956
high,5.8968706,0.003711631959571317
high,6.247121,0.0019985737760490766
high,6.5973706,0.0007994284220615143
high,6.947621,0.0005139182713252592
high,7.2978706,0.00011420421577423295
high,7.648121,0.00022840812058900407
low,-9.5141325,5.710203014725102e-05
low,-9.163882,0.0
low,-8.813633,0.0
low,-8.463383,0.0
low,-8.113132,5.710203014725102e-05
low,-7.762882,5.710203014725102e-05
low,-7.412632,0.00011420421577423295
low,-7.062382,0.00045681624117800815
low,-6.712132,0.00045681624117800815
low,-6.361882,0.0011991442656294458
low,-6.011632,0.002512489326479045
low,-5.6613817,0.003940040080160321
low,-5.3111315,0.009364745693487102
low,-4.9608817,0.013533181144898493
low,-4.6106315,0.024782281083906947
low,-4.2603817,0.039400454442110364
low,-3.9101315,0.05715913217739828
low,-3.5598812,0.08668094076804476
low,-3.2096314,0.11974303872897883
low,-2.8593812,0.1561169504225843
low,-2.509131,0.1920913601737171
low,-2.1588812,0.22692362227418308
low,-1.808631,0.2565595087728136
low,-1.4583809,0.2598715160970828
low,-1.1081309,0.2533046919466283
low,-0.7578808,0.23663093373785635
low,-0.4076307,0.20037112608256227
low,-0.057380628,0.1562312342439129
low,0.29286945,0.13881510615751178
low,0.6431195,0.10495357606244081
low,0.9933696,0.08199857110863785
low,1.3436196,0.06366878528415026
low,1.6938697,0.04756602349129202
low,2.0441198,0.03643109523394615
low,2.39437,0.026266951747892352
low,2.7446198,0.019129193120747692
low,3.09487,0.014846537944460895
low,3.44512,0.009878651215474427
low,3.79537,0.00571020690171573
low,4.1456203,0.002740897447068049
low,4.4958706,0.002055675883936193
low,4.8461204,0.0014846527838285265
low,5.1963706,0.0011991426330922716
low,5.5466204,0.0003426126473226988
low,5.8968706,0.00011420406029450204
low,6.247121,0.0001713063236613494
low,6.5973706,0.0
low,6.947621,0.00011420406029450204
low,7.2978706,0.0
low,7.648121,0.0
