fpr,tpr
0.0,0.0
0.00038,0.0072
0.0008,0.01428
0.0012,0.0214
0.00162,0.0293
0.00208,0.03762
0.00252,0.04506
0.00294,0.05054
0.00332,0.0559
0.00372,0.06186
0.00416,0.06682
0.0046,0.07492
0.00502,0.08088
0.00552,0.0878
0.00592,0.09302
0.00634,0.09798
0.00678,0.10308
0.00722,0.10816
0.00764,0.11302
0.00802,0.11864
0.00844,0.12566
0.0089,0.12962
0.00936,0.1359
0.0098,0.14056
0.01022,0.14468
0.0106,0.15046
0.01098,0.1553
0.01138,0.16104
0.01182,0.166
0.01226,0.1688
0.01266,0.17322
0.01314,0.17788
0.01356,0.18164
0.01404,0.18608
0.01444,0.19024
0.01484,0.1943
0.01526,0.19944
0.0157,0.20552
0.01616,0.21052
0.01658,0.21486
0.01698,0.21984
0.01744,0.2249
0.01786,0.22836
0.01828,0.23302
0.01866,0.23698
0.01908,0.24054
0.01954,0.2441
0.01998,0.24992
0.02044,0.25278
0.02088,0.25794
0.02128,0.26164
0.02176,0.26576
0.02222,0.26862
0.02264,0.27184
0.02312,0.2764
0.02358,0.28034
0.02402,0.28446
0.02442,0.28708
0.02488,0.29116
0.02528,0.29728
0.02568,0.30126
0.02616,0.30486
0.02664,0.30908
0.02706,0.31208
0.02752,0.31478
0.02802,0.31856
0.02844,0.32162
0.02886,0.32454
0.0293,0.32904
0.0297,0.3309
0.03012,0.33486
0.03054,0.3383
0.03098,0.34308
0.0314,0.3466
0.03186,0.35044
0.0323,0.35324
0.03274,0.35636
0.03318,0.35966
0.03362,0.36326
0.034,0.36636
0.0344,0.36864
0.03484,0.3712
0.03542,0.37374
0.03586,0.37692
0.03628,0.38034
0.03676,0.38436
0.03726,0.38658
0.03772,0.3885
0.03818,0.3914
0.0386,0.39464
0.03906,0.39754
0.03946,0.40088
0.03986,0.40394
0.0403,0.4075
0.04074,0.41054
0.04124,0.4144
0.04172,0.4169
0.04218,0.42026
0.04262,0.42278
0.04304,0.42576
0.04354,0.42818
0.04396,0.43072
0.04444,0.43302
0.04494,0.43606
0.04536,0.43984
0.04586,0.44206
0.04632,0.44418
0.0468,0.4473
0.04728,0.4505
0.04776,0.4535
0.04818,0.45618
0.04866,0.46
0.04916,0.46308
0.04966,0.4656
0.0501,0.46814
0.0506,0.47214
0.0512,0.4748
0.05172,0.4779
0.05214,0.48028
0.05268,0.48202
0.05312,0.48486
0.05352,0.48786
0.05396,0.48994
0.0545,0.49246
0.05502,0.4944
0.05554,0.49728
0.05602,0.49932
0.05646,0.50206
0.057,0.5045
0.05744,0.50712
0.05784,0.50996
0.05832,0.51226
0.05878,0.5148
0.05924,0.51754
0.05976,0.52012
0.06016,0.52182
0.06058,0.52406
0.06108,0.5269
0.06158,0.5303
0.062,0.53282
0.06252,0.53554
0.063,0.53728
0.06354,0.53906
0.06398,0.54158
0.06446,0.54436
0.06494,0.54672
0.06542,0.54862
0.06586,0.54994
0.06636,0.55182
0.06692,0.5535
0.06746,0.55548
0.06798,0.55774
0.06852,0.55944
0.06898,0.56236
0.06942,0.56458
0.06988,0.56762
0.07036,0.56888
0.0709,0.5706
0.07144,0.5724
0.07192,0.57488
0.07246,0.57672
0.07292,0.57876
0.07344,0.58134
0.07384,0.58372
0.07438,0.5856
0.07492,0.58782
0.07546,0.58966
0.07594,0.59132
0.07656,0.59322
0.07704,0.5952
0.07758,0.59658
0.07808,0.59874
0.07858,0.60112
0.079,0.60316
0.07948,0.6049
0.07998,0.60598
0.08044,0.60824
0.08094,0.6101
0.08138,0.6122
0.08188,0.61396
0.0825,0.6154
0.08306,0.6173
0.0836,0.61888
0.08428,0.62044
0.08482,0.62304
0.08528,0.62482
0.08576,0.62668
0.08622,0.6286
0.08676,0.63
0.08722,0.6319
0.0879,0.634
0.08834,0.63546
0.0888,0.63754
0.08936,0.63898
0.08994,0.64106
0.0905,0.6431
0.09108,0.64456
0.09172,0.64622
0.09218,0.64808
0.09274,0.6495
0.09324,0.65062
0.09376,0.65198
0.0944,0.65326
0.09492,0.65464
0.0955,0.65628
0.09608,0.65724
0.09672,0.65868
0.0973,0.66048
0.09786,0.66268
0.09836,0.66416
0.09886,0.666
0.09932,0.66774
0.0999,0.66906
0.10048,0.67028
0.10112,0.67158
0.10166,0.6729
0.10222,0.67428
0.10282,0.67516
0.10334,0.67736
0.10382,0.67986
0.10442,0.68132
