stability,bin_center,density
high,-3.265101,0.0
high,-3.1365395,0.0
high,-3.0079782,0.00031113514556048856
high,-2.879417,0.00031113572256479205
high,-2.7508554,0.00031113572256479205
high,-2.6222944,0.0018668143353887524
high,-2.493733,0.0024890811644839085
high,-2.3651714,0.004200332254624692
high,-2.2366104,0.008556232370531781
high,-2.108049,0.009178503815661366
high,-1.9794877,0.015401203986087453
high,-1.8509264,0.0252019701590522
high,-1.722365,0.030024597227502437
high,-1.5938036,0.03422489774686101
high,-1.4652424,0.0432478654365061
high,-1.3366811,0.05398199780982168
high,-1.2081198,0.057248972951921745
high,-1.0795584,0.06362719626575523
high,-0.9509971,0.06876099468681905
high,-0.82243586,0.07778389457837889
high,-0.6938745,0.08540671624706002
high,-0.5653132,0.08898477539766546
high,-0.43675187,0.10236360526514661
high,-0.30819055,0.12118730775311432
high,-0.17962924,0.14390020497000094
high,-0.05106792,0.16707980555435784
high,0.0774934,0.195237575391731
high,0.20605472,0.2280623789038069
high,0.33461604,0.2878004099400019
high,0.46317735,0.3214030523978616
high,0.5917387,0.37118474492802406
high,0.72029996,0.4436793346750732
high,0.84886134,0.5027950945546411
high,0.9774226,0.5349978749501599
high,1.105984,0.5676665994467992
high,1.2345452,0.5897577621215634
high,1.3631065,0.5659553545594561
high,1.4916679,0.5239525567991098
high,1.6202292,0.46048044241231173
high,1.7487905,0.3554725630302749
high,1.8773518,0.26026479059317487
high,2.0059133,0.17594725111038992
high,2.1344743,0.0975410490240623
high,2.2630358,0.05320410989084354
high,2.3915973,0.023801882776206595
high,2.5201583,0.00980077526079095
high,2.6487198,0.0024890857805183364
high,2.777281,0.0009334054366814656
high,2.9058423,0.0
high,3.0344038,0.00031113572256479205
low,-3.265101,0.0004667035838471881
low,-3.1365395,0.0012445428902591682
low,-3.0079782,0.0035780541739456185
low,-2.879417,0.0063782823125782375
low,-2.7508554,0.01291213248643887
low,-2.6222944,0.02706880786313691
low,-2.493733,0.046048001542952306
low,-2.3651714,0.07965074497658677
low,-2.2366104,0.11838714243590338
low,-2.108049,0.18605916209374565
low,-1.9794877,0.2436190448708379
low,-1.8509264,0.30366818364487586
low,-1.722365,0.3654289061523483
low,-1.5938036,0.40416492884702226
low,-1.4652424,0.43543444372942647
low,-1.3366811,0.43294495649779174
low,-1.2081198,0.40992131447911356
low,-1.0795584,0.3954531366932758
low,-0.9509971,0.36325095609439473
low,-0.82243586,0.34582719529547257
low,-0.6938745,0.31113557831351557
low,-0.5653132,0.2920007402472344
low,-0.43675187,0.2677321651387801
low,-0.30819055,0.24781948812671514
low,-0.17962924,0.24844175928334217
low,-0.05106792,0.22946248900621774
low,0.0774934,0.22012842165681223
low,0.20605472,0.2199728538676555
low,0.33461604,0.20768299852427163
low,0.46317735,0.19772666001823913
low,0.5917387,0.18294772004834714
low,0.72029996,0.16941332239170923
low,0.84886134,0.16505742429532003
low,0.9774226,0.14654492532801708
low,1.105984,0.12694325709744808
low,1.2345452,0.10391933133664055
low,1.3631065,0.086806786103402
low,1.4916679,0.06751645179655988
low,1.6202292,0.04262555446654507
low,1.7487905,0.028313350753396076
low,1.8773518,0.017423584307492877
low,2.0059133,0.009645207399508554
low,2.1344743,0.004667035838471881
low,2.2630358,0.0018668108733629312
low,2.3915973,0.0007778393064119801
low,2.5201583,0.00015556786128239603
low,2.6487198,0.00015556786128239603
low,2.777281,0.0
low,2.9058423,0.0
low,3.0344038,0.0
