fpr,tpr
0.0,0.0
0.00038,0.00868
0.00078,0.01918
0.00118,0.02798
0.00166,0.03698
0.0021,0.04302
0.00252,0.05018
0.00298,0.0574
0.00342,0.06346
0.0038,0.06782
0.0043,0.07434
0.00476,0.07946
0.00516,0.08648
0.00554,0.09046
0.00594,0.096
0.00636,0.09984
0.00678,0.10562
0.0072,0.11164
0.00762,0.1177
0.00806,0.12098
0.00846,0.1261
0.0089,0.13132
0.00934,0.13584
0.00978,0.13904
0.01024,0.14318
0.01066,0.14664
0.01108,0.1498
0.01154,0.15314
0.012,0.15846
0.01242,0.16222
0.01286,0.16552
0.01328,0.16918
0.01376,0.1728
0.0142,0.17798
0.01468,0.18118
0.01506,0.18532
0.01548,0.18798
0.01588,0.19138
0.01638,0.1949
0.01684,0.20028
0.01724,0.20364
0.01764,0.2078
0.01816,0.21104
0.01862,0.21402
0.01904,0.21746
0.01948,0.22142
0.02,0.2252
0.0205,0.2283
0.0209,0.2319
0.0214,0.23488
0.0218,0.23816
0.02226,0.24036
0.02266,0.24362
0.02316,0.24746
0.02362,0.24992
0.02404,0.25386
0.02442,0.25742
0.02496,0.2616
0.02544,0.26428
0.0259,0.2681
0.02636,0.27124
0.02678,0.2733
0.02724,0.2768
0.02766,0.27998
0.02816,0.28348
0.02858,0.28666
0.02904,0.28914
0.0295,0.2917
0.02994,0.29452
0.03036,0.29706
0.03082,0.2999
0.03134,0.3025
0.03184,0.30566
0.03232,0.30858
0.03276,0.31144
0.03318,0.31538
0.03366,0.31902
0.03412,0.322
0.03472,0.32472
0.03522,0.32774
0.03572,0.33012
0.0361,0.33358
0.0365,0.33646
0.037,0.33904
0.03754,0.34214
0.03794,0.3439
0.03846,0.34796
0.0389,0.35052
0.0394,0.35358
0.03982,0.35596
0.04024,0.35934
0.04076,0.36246
0.04122,0.3656
0.04164,0.3677
0.0421,0.37044
0.04256,0.3732
0.043,0.37572
0.04354,0.37868
0.04402,0.38126
0.04456,0.3832
0.04498,0.38588
0.04548,0.38894
0.04608,0.39154
0.04664,0.39474
0.04708,0.39732
0.04754,0.39986
0.04794,0.40272
0.04836,0.40528
0.04892,0.40796
0.0494,0.41118
0.04988,0.41326
0.0503,0.41514
0.05078,0.41706
0.05132,0.4206
0.05178,0.42264
0.0524,0.42518
0.05288,0.42744
0.05328,0.4294
0.0538,0.43206
0.05434,0.43354
0.05482,0.43502
0.05532,0.4379
0.05572,0.43976
0.0562,0.44174
0.05668,0.44336
0.05714,0.44524
0.05758,0.44718
0.05812,0.45032
0.0587,0.45236
0.05914,0.45492
0.05956,0.4567
0.06004,0.45844
0.06058,0.46026
0.06102,0.46252
0.06156,0.46556
0.06208,0.46792
0.06254,0.47002
0.063,0.47256
0.06346,0.47398
0.06394,0.4758
0.06434,0.4774
0.06486,0.47982
0.06532,0.48128
0.06588,0.48296
0.0664,0.48524
0.06694,0.48754
0.0674,0.48894
0.06782,0.49108
0.06832,0.49266
0.06886,0.49464
0.06938,0.4975
0.06988,0.49926
0.07034,0.50158
0.07082,0.50344
0.07142,0.50516
0.07194,0.50702
0.0725,0.5093
0.07306,0.51086
0.0736,0.51288
0.07416,0.5153
0.07464,0.51756
0.07518,0.51958
0.07568,0.52178
0.0762,0.52314
0.0768,0.52512
0.0773,0.52674
0.07784,0.52816
0.07834,0.52982
0.07886,0.53188
0.07934,0.53372
0.07984,0.53582
0.08038,0.5375
0.0809,0.5397
0.0814,0.54164
0.08188,0.54358
0.08252,0.54522
0.08304,0.54676
0.0836,0.54838
0.08414,0.55072
0.08464,0.55222
0.08516,0.55452
0.08578,0.55614
0.08628,0.55782
0.08674,0.55948
0.08724,0.56066
0.08778,0.56228
0.08834,0.56444
0.08882,0.56642
0.08924,0.5678
0.08978,0.56946
0.09044,0.57148
0.09102,0.57368
0.09156,0.5751
0.09204,0.5769
0.09266,0.57846
0.09318,0.5802
0.09376,0.58136
0.09424,0.58294
0.0947,0.5849
0.09518,0.58642
0.09572,0.58774
0.09626,0.58958
0.09676,0.59124
0.0973,0.59312
0.09784,0.59464
0.0984,0.59628
0.09886,0.59746
0.09948,0.59878
0.1001,0.60056
0.10064,0.60192
0.10124,0.60338
0.10172,0.60492
0.10218,0.60644
0.10272,0.60794
0.10326,0.60972
0.10374,0.61132
0.10434,0.6126
0.1049,0.6142
0.10542,0.6157
0.10584,0.61732
0.1064,0.61902
0.10698,0.6206
0.10754,0.622
0.10814,0.62396
0.10866,0.62508
0.10918,0.62662
0.10972,0.62764
0.11018,0.62902
0.11062,0.63006
0.11124,0.63154
0.11186,0.63282
0.11232,0.63472
0.11282,0.63606
0.11334,0.63762
0.11388,0.6389
0.11456,0.64008
0.11518,0.64158
0.11572,0.64256
0.11638,0.64368
0.11694,0.64504
0.11754,0.6464
0.11812,0.64772
0.11878,0.64892
0.11938,0.65038
0.11998,0.65242
0.12054,0.65394
0.12126,0.6555
0.12176,0.6565
0.12244,0.65768
0.12312,0.65886
0.12372,0.66004
0.12432,0.66116
0.12492,0.6622
0.12554,0.66374
0.12602,0.66478
0.12652,0.66624
0.12728,0.66754
0.12786,0.66856
0.12838,0.66992
0.1291,0.671
0.12962,0.67238
0.13012,0.67354
0.1307,0.67458
0.13134,0.67604
0.1319,0.6773
0.13244,0.67888
0.13296,0.68014
0.13358,0.68154
0.13424,0.68256
0.1349,0.68368
0.1355,0.68498
0.1361,0.68578
0.13676,0.68718
0.13732,0.6883
0.1379,0.68946
0.1386,0.6908
0.13924,0.69214
0.13984,0.69326
0.14056,0.69426
0.14116,0.69526
0.1418,0.69644
0.1423,0.69772
0.1428,0.69864
0.14332,0.69956
0.1438,0.7008
0.14436,0.70156
0.14494,0.70246
0.14544,0.70374
0.14606,0.70474
0.14682,0.70582
0.14748,0.70696
0.148,0.70838
0.14856,0.70954
0.1492,0.71096
0.1499,0.71188
0.1506,0.71334
0.1512,0.71478
0.15184,0.71628
0.1525,0.71742
0.15312,0.71852
0.15368,0.71948
0.15426,0.72114
0.15502,0.72232
0.1556,0.7235
0.15622,0.72472
0.1568,0.72592
0.15732,0.72692
0.15788,0.72798
0.15862,0.72924
0.15916,0.73044
0.15986,0.73116
0.1604,0.73222
0.16122,0.7334
0.16202,0.7343
0.16256,0.73554
0.16342,0.73646
0.16412,0.73766
0.1649,0.73872
0.16554,0.73952
0.1662,0.74042
0.16676,0.74142
0.1674,0.74248
0.16798,0.74346
0.1686,0.74456
0.16922,0.74564
0.16994,0.747
0.17056,0.74786
0.17138,0.74894
0.17198,0.74988
0.17266,0.75082
0.17332,0.75194
0.1739,0.7528
0.17454,0.75364
0.17544,0.75458
0.1761,0.75552
0.17688,0.75674
0.17746,0.75768
0.17818,0.7586
0.1789,0.75946
0.1796,0.76038
0.1804,0.7614
0.18096,0.76236
0.18182,0.7633
0.18246,0.7644
0.18312,0.76532
0.1837,0.76628
0.18434,0.76724
0.18482,0.76838
0.18532,0.76928
0.18608,0.77028
0.18674,0.77122
0.18744,0.77212
0.1883,0.77302
0.18914,0.7741
0.18984,0.77496
0.19052,0.77614
0.19132,0.77712
0.19202,0.77824
0.19264,0.77946
0.19336,0.78066
0.194,0.78138
0.19484,0.78208
0.19566,0.78298
0.1965,0.78396
0.1971,0.78484
0.19782,0.78594
0.19856,0.78654
0.19934,0.7875
0.20006,0.78842
0.20078,0.78914
0.2017,0.79016
0.20248,0.79088
0.203,0.7919
0.20368,0.79276
0.20438,0.79374
0.20504,0.79468
0.20598,0.79538
0.2068,0.79622
0.20792,0.79694
0.20882,0.79784
0.20962,0.79872
0.21034,0.7995
0.2113,0.80026
0.21214,0.80106
0.2131,0.80208
0.21384,0.80286
0.21486,0.80374
0.21584,0.80448
0.2167,0.80528
0.21748,0.80598
0.21846,0.80674
0.21908,0.8078
0.21968,0.80866
0.22052,0.80972
0.2214,0.81042
0.22202,0.81108
0.22272,0.8118
0.2236,0.81246
0.22426,0.81334
0.22512,0.81408
0.22592,0.81468
0.22654,0.81542
0.22738,0.81604
0.22808,0.81684
0.22886,0.81752
0.22962,0.81822
0.2304,0.81898
0.2313,0.81972
0.23216,0.8207
0.23288,0.8215
0.23386,0.82238
0.23472,0.82338
0.2356,0.82428
0.2364,0.82532
0.2369,0.82612
0.23764,0.82702
0.23864,0.82778
0.23926,0.82846
0.24016,0.82926
0.24124,0.8298
0.2422,0.83054
0.24296,0.83118
0.24374,0.83188
0.24446,0.83268
0.24528,0.83342
0.24614,0.83428
0.24702,0.83514
0.2479,0.8359
0.24896,0.8366
0.24974,0.83736
0.25064,0.83814
0.25156,0.83886
0.2527,0.83944
0.25354,0.84
0.25446,0.84096
0.25534,0.8417
0.25622,0.84242
0.25714,0.84306
0.25828,0.8439
0.25944,0.8445
0.26062,0.84512
0.26162,0.84602
0.26282,0.84678
0.2637,0.84748
0.26444,0.84818
0.2653,0.84896
0.2664,0.84948
0.26706,0.85018
0.26822,0.85102
0.26896,0.85154
0.27,0.85232
0.27112,0.85292
0.27214,0.85354
0.27334,0.8541
0.27408,0.8549
0.2753,0.8555
0.27608,0.8562
0.27698,0.85674
0.27772,0.85728
0.2785,0.85786
0.27938,0.85848
0.28032,0.85922
0.2813,0.86008
0.2822,0.8607
0.2833,0.86138
0.2843,0.86228
0.28518,0.86286
0.28612,0.86354
0.28698,0.86422
0.2879,0.86484
0.28888,0.8656
0.29016,0.86634
0.29112,0.86706
0.29186,0.86768
0.2928,0.86856
0.29364,0.86918
0.2947,0.86992
0.2962,0.8705
0.29738,0.8712
0.29874,0.87192
0.29968,0.87246
0.30114,0.87298
0.30258,0.87364
0.30354,0.87416
0.30456,0.87478
0.30544,0.87544
0.3064,0.87614
0.30764,0.87694
0.30884,0.8775
0.31006,0.87808
0.3111,0.87868
0.312,0.87926
0.3131,0.87998
0.31412,0.88062
0.31528,0.88142
0.31632,0.8821
0.31774,0.88276
0.31908,0.88326
0.3203,0.88388
0.3216,0.88434
0.32262,0.88484
0.32378,0.88548
0.32472,0.88602
0.32622,0.88652
0.32744,0.88718
0.3289,0.88774
0.32986,0.88834
0.33112,0.88888
0.33232,0.88944
0.33366,0.89
0.3349,0.89056
0.3362,0.89112
0.33774,0.8917
0.33894,0.89242
0.3401,0.89298
0.34164,0.89348
0.34286,0.89432
0.34394,0.89496
0.34564,0.89564
0.3467,0.89616
0.34774,0.8967
0.34926,0.89742
0.3504,0.89798
0.35214,0.8985
0.35326,0.899
0.35458,0.89956
0.35582,0.9002
0.357,0.90078
0.35798,0.90142
0.35946,0.90222
0.36066,0.90276
0.36252,0.9034
0.36384,0.90396
0.36554,0.90468
0.36698,0.90514
0.36836,0.90566
0.36928,0.90624
0.37058,0.9068
0.37192,0.90748
0.37332,0.90792
0.37486,0.90844
0.3758,0.90892
0.37742,0.90942
0.37848,0.91
0.3804,0.9105
0.38188,0.91102
0.3834,0.91142
0.38464,0.91198
0.38628,0.91256
0.38784,0.91308
0.389,0.91372
0.39086,0.91434
0.39212,0.9149
0.3938,0.91546
0.39518,0.91598
0.3961,0.9165
0.39746,0.91714
0.3995,0.9177
0.40174,0.91826
0.40336,0.91876
0.40514,0.91932
0.40666,0.91988
0.40832,0.92032
0.40984,0.92082
0.41158,0.92136
0.41312,0.92192
0.4146,0.92246
0.4166,0.9231
0.4179,0.92356
0.4195,0.92404
0.42084,0.9245
0.42334,0.92514
0.42468,0.92564
0.42658,0.92616
0.428,0.92664
0.42932,0.92714
0.43144,0.9276
0.43304,0.92806
0.43474,0.92854
0.43642,0.92908
0.43804,0.92954
0.43942,0.93004
0.44098,0.93052
0.44266,0.93096
0.4442,0.93142
0.44572,0.93186
0.44798,0.9324
0.44964,0.9329
0.4517,0.93336
0.45356,0.93392
0.45512,0.93448
0.45688,0.93506
0.45796,0.93558
0.45966,0.93604
0.46158,0.93646
0.46308,0.93698
0.46464,0.93762
0.4664,0.93808
0.46832,0.93858
0.47008,0.93902
0.47236,0.93944
0.47466,0.93992
0.47714,0.9404
0.47924,0.9409
0.48088,0.94142
0.48296,0.942
0.48476,0.9425
0.48688,0.94302
0.4885,0.94354
0.49032,0.94406
0.49378,0.9446
0.4967,0.94502
0.49892,0.94554
0.50074,0.94594
0.50336,0.94642
0.50584,0.9469
0.5085,0.94752
0.51078,0.94798
0.5132,0.94846
0.51698,0.94896
0.5196,0.94944
0.52202,0.94988
0.52476,0.95032
0.5275,0.95078
0.52902,0.95132
0.5315,0.95182
0.53378,0.9523
0.53608,0.95286
0.53862,0.95328
0.54172,0.9537
0.5449,0.95416
0.54746,0.95462
0.55088,0.95508
0.5538,0.9556
0.5557,0.95606
0.55958,0.95648
0.56232,0.95694
0.56482,0.9574
0.56764,0.9578
0.57038,0.95828
0.57262,0.9588
0.57614,0.95926
0.57852,0.95972
0.5816,0.96016
0.58382,0.96058
0.58662,0.96104
0.591,0.9616
0.59294,0.96208
0.59542,0.96252
0.59786,0.96294
0.60006,0.96336
0.60244,0.96386
0.6055,0.96426
0.60836,0.96474
0.6123,0.96516
0.61478,0.96558
0.61916,0.96608
0.62348,0.9665
0.62622,0.96698
0.6299,0.96738
0.63286,0.96786
0.63704,0.9684
0.64024,0.9689
0.6436,0.9694
0.64652,0.96982
0.64966,0.97024
0.65272,0.9707
0.65664,0.9712
0.6596,0.97164
0.6623,0.9721
0.66572,0.9726
0.66986,0.9731
0.67482,0.9735
0.6785,0.97392
0.68322,0.97434
0.68544,0.97476
0.68998,0.97516
0.69404,0.97558
0.69842,0.97606
0.70268,0.97652
0.70746,0.97698
0.71182,0.9774
0.71648,0.9779
0.71932,0.97838
0.72378,0.97884
0.72684,0.9793
0.73144,0.97978
0.73668,0.98022
0.74184,0.98062
0.74622,0.98102
0.7516,0.98142
0.75616,0.98182
0.7611,0.98224
0.76638,0.98268
0.7713,0.9831
0.77696,0.98352
0.78258,0.98394
0.78786,0.98434
0.79234,0.98474
0.7975,0.9852
0.8015,0.9856
0.80766,0.98606
0.81472,0.98646
0.8193,0.98694
0.82502,0.98734
0.8288,0.98782
0.8342,0.98824
0.83808,0.98862
0.84432,0.98904
0.8493,0.98946
0.85386,0.98994
0.85864,0.99038
0.86442,0.99082
0.86962,0.99128
0.87444,0.99176
0.8803,0.99218
0.88508,0.99262
0.88756,0.99304
0.89514,0.99348
0.9011,0.9939
0.90634,0.9943
0.91066,0.99474
0.91564,0.99518
0.9229,0.99558
0.9275,0.99602
0.9352,0.99642
0.94292,0.99688
0.95048,0.99724
0.95884,0.99764
0.9661,0.99806
0.97242,0.99844
0.97902,0.99884
0.98684,0.99924
0.99526,0.99966
