fpr,tpr
0.0,0.0
0.00062,0.00142
0.00112,0.0028
0.0016,0.00454
0.00202,0.00604
0.00248,0.00794
0.00304,0.00964
0.00344,0.01128
0.0039,0.01346
0.00442,0.01486
0.00482,0.01646
0.00534,0.01818
0.00582,0.01956
0.00626,0.0218
0.0067,0.02352
0.00712,0.02518
0.00764,0.0269
0.0081,0.02868
0.00862,0.0304
0.00908,0.03202
0.00952,0.03378
0.01004,0.035
0.01058,0.03638
0.01108,0.03794
0.01158,0.0396
0.01202,0.04116
0.0124,0.04244
0.01302,0.04426
0.01354,0.0462
0.01396,0.04798
0.01436,0.04952
0.01472,0.05136
0.01524,0.0528
0.01576,0.05442
0.01626,0.0557
0.01674,0.05754
0.01716,0.05892
0.01766,0.06028
0.01816,0.06216
0.01864,0.06366
0.01924,0.06572
0.0198,0.06758
0.0203,0.06924
0.02078,0.0712
0.02126,0.07328
0.02172,0.07478
0.02226,0.0766
0.02274,0.07804
0.02314,0.0794
0.02362,0.0814
0.02422,0.08276
0.02476,0.08438
0.02548,0.0855
0.02596,0.08674
0.02646,0.08876
0.02698,0.09034
0.02754,0.09164
0.02804,0.09356
0.02852,0.09482
0.02918,0.09632
0.02968,0.09788
0.03016,0.09926
0.0307,0.10084
0.0311,0.10246
0.0316,0.10374
0.03206,0.10494
0.03258,0.10622
0.03316,0.1075
0.0336,0.10906
0.03406,0.11064
0.03448,0.11164
0.03492,0.11332
0.0354,0.11542
0.03596,0.11728
0.03636,0.11862
0.03682,0.1201
0.0372,0.12212
0.03768,0.12402
0.03812,0.12512
0.03854,0.12668
0.03894,0.12804
0.0394,0.12948
0.03984,0.1308
0.04034,0.13268
0.04082,0.13438
0.0413,0.13608
0.04168,0.13758
0.04212,0.1397
0.04248,0.14126
0.043,0.14306
0.04346,0.1444
0.04398,0.14588
0.0445,0.14746
0.04494,0.14874
0.04534,0.15056
0.04592,0.15156
0.0464,0.15302
0.0469,0.1548
0.0473,0.15658
0.04774,0.15814
0.04824,0.1594
0.0487,0.16054
0.04914,0.1622
0.04956,0.16482
0.04996,0.16638
0.05038,0.16778
0.05086,0.16958
0.0514,0.17162
0.05188,0.17278
0.05238,0.17392
0.05272,0.17536
0.05318,0.17688
0.05362,0.17882
0.05402,0.18018
0.05454,0.18148
0.05512,0.18304
0.05564,0.18386
0.05612,0.18526
0.0566,0.18668
0.05708,0.1878
0.05768,0.18892
0.0581,0.19012
0.05868,0.19184
0.05918,0.19312
0.0596,0.1943
0.06004,0.19594
0.06062,0.1972
0.06116,0.1981
0.06168,0.19934
0.06218,0.20114
0.06258,0.20244
0.06308,0.20362
0.06354,0.20514
0.0641,0.20684
0.06468,0.2082
0.06524,0.20982
0.06582,0.21118
0.06622,0.21256
0.06666,0.214
0.06722,0.21564
0.06764,0.21724
0.06806,0.21886
0.0685,0.22118
0.06908,0.22234
0.06956,0.22386
0.07008,0.22548
0.07056,0.22692
0.07112,0.2281
0.07156,0.23022
0.07212,0.23166
0.07268,0.23284
0.07322,0.23424
0.0738,0.23534
0.07434,0.23636
0.07496,0.23744
0.07546,0.2391
0.076,0.24076
0.0765,0.24224
0.07694,0.24378
0.07744,0.24508
0.07798,0.24678
0.07854,0.24868
0.079,0.25026
0.07966,0.25166
0.08018,0.25306
0.08078,0.25462
0.08128,0.25584
0.08176,0.25724
0.0823,0.2585
0.0829,0.25962
0.08356,0.26122
0.08406,0.26248
0.08458,0.26392
0.08518,0.26508
0.08578,0.26642
0.0862,0.26772
0.08672,0.26874
0.08716,0.27054
0.08772,0.27206
0.08836,0.2734
0.08894,0.27494
0.08946,0.27602
0.08998,0.27766
0.09058,0.27924
0.09104,0.28066
0.09166,0.28172
0.09212,0.28368
0.09262,0.2852
0.0933,0.28664
0.09368,0.28794
0.09422,0.28972
0.09466,0.29146
0.09524,0.29322
0.09576,0.29488
0.09616,0.29642
0.09652,0.29822
0.0971,0.29986
0.09762,0.30128
0.09808,0.30294
0.0986,0.3043
0.09916,0.3058
0.09972,0.30734
0.10016,0.30864
0.10058,0.30992
0.10102,0.31132
0.10148,0.31314
0.10188,0.31508
0.10236,0.31666
0.10272,0.31828
0.10324,0.31968
0.10364,0.32152
0.104,0.32318
0.10436,0.32488
0.1048,0.3259
0.10516,0.32758
0.10558,0.32904
0.10602,0.33036
0.10648,0.33232
0.10694,0.33392
0.1074,0.3355
0.10774,0.33712
0.10828,0.3386
0.1086,0.3404
0.109,0.34214
0.10936,0.34376
0.10982,0.34526
0.11032,0.34682
0.11088,0.34836
0.11132,0.35
0.11174,0.35164
0.11218,0.35302
0.1126,0.35524
0.11316,0.35674
0.11352,0.35868
0.11394,0.36024
0.11442,0.36164
0.11476,0.36332
0.1151,0.36526
0.11556,0.3663
0.11594,0.36758
0.11634,0.3693
0.11672,0.3706
0.11716,0.37194
0.1175,0.37358
0.11798,0.37544
0.11846,0.37666
0.11898,0.37824
0.1194,0.37958
0.1199,0.38068
0.1204,0.3823
0.12086,0.38376
0.12136,0.38506
0.12192,0.38638
0.12242,0.38772
0.12288,0.38922
0.12336,0.39082
0.12384,0.39252
0.12422,0.39376
0.12468,0.39486
0.12516,0.39614
0.1256,0.39784
0.1261,0.39908
0.12654,0.40046
0.12702,0.4016
0.1274,0.40288
0.12792,0.40484
0.12842,0.40626
0.12896,0.40768
0.1295,0.40904
0.12998,0.41044
0.13054,0.41186
0.13096,0.41318
0.13146,0.4147
0.13198,0.4161
0.13254,0.41762
0.133,0.41918
0.1335,0.42052
0.13398,0.42164
0.13452,0.42282
0.13494,0.42384
0.13544,0.42496
0.1359,0.42624
0.13636,0.42764
0.13678,0.4288
0.13722,0.43034
0.1377,0.43198
0.13824,0.4335
0.13872,0.43532
0.13918,0.4367
0.13954,0.4382
0.14006,0.43926
0.14052,0.44034
0.14102,0.44226
0.14154,0.44344
0.14202,0.4451
0.14252,0.44634
0.14322,0.44768
0.14372,0.44912
0.14428,0.45064
0.14482,0.45164
0.14536,0.45306
0.1459,0.45454
0.14636,0.45568
0.1468,0.45726
0.14732,0.4589
0.148,0.46008
0.14836,0.46126
0.14882,0.4624
0.14924,0.46414
0.14976,0.4656
0.1503,0.46736
0.15074,0.46868
0.15118,0.47038
0.1515,0.47268
0.15196,0.47404
0.15242,0.47526
0.15296,0.4765
0.1535,0.47766
0.15396,0.47916
0.15452,0.48068
0.15498,0.48204
0.15564,0.48348
0.15618,0.48508
0.15666,0.48638
0.15714,0.4878
0.15768,0.48924
0.15822,0.49072
0.15868,0.49216
0.1592,0.49356
0.15968,0.4947
0.1602,0.49598
0.16052,0.49736
0.16098,0.49856
0.16138,0.50062
0.16186,0.5019
0.16242,0.50296
0.16282,0.50426
0.1634,0.5054
0.16378,0.50664
0.1643,0.50784
0.16492,0.50896
0.16554,0.51008
0.16596,0.51172
0.16652,0.51306
0.167,0.51424
0.16756,0.51528
0.16804,0.51636
0.16858,0.5175
0.16924,0.51876
0.16982,0.5198
0.1704,0.52108
0.17088,0.52264
0.17128,0.52428
0.17172,0.5257
0.17226,0.52682
0.17274,0.52806
0.17322,0.52934
0.17378,0.5305
0.17434,0.53186
0.1749,0.53302
0.17538,0.53408
0.176,0.53506
0.17654,0.5364
0.17714,0.53806
0.17776,0.539
0.17836,0.54034
0.1788,0.54136
0.17924,0.54234
0.17988,0.54322
0.18038,0.54482
0.1809,0.54622
0.1815,0.54736
0.18194,0.54894
0.18254,0.5501
0.18298,0.55138
0.1835,0.55238
0.18406,0.55352
0.18462,0.55466
0.18504,0.55578
0.18554,0.55676
0.18596,0.55794
0.18638,0.55956
0.18688,0.56044
0.18736,0.56144
0.188,0.5623
0.18842,0.56378
0.1889,0.56526
0.18952,0.56638
0.19004,0.56768
0.19066,0.56938
0.1912,0.57044
0.19166,0.5714
0.19226,0.57252
0.19274,0.57414
0.19318,0.57572
0.19352,0.57716
0.19396,0.57868
0.19448,0.58008
0.19494,0.5812
0.19562,0.58274
0.19606,0.58394
0.19652,0.58512
0.19706,0.58676
0.1975,0.58808
0.198,0.58962
0.1985,0.59036
0.19896,0.59168
0.19944,0.59326
0.19994,0.59472
0.20044,0.59608
0.20096,0.59752
0.20148,0.59892
0.20206,0.60056
0.20266,0.60162
0.20322,0.60288
0.20374,0.60462
0.20434,0.60578
0.20488,0.60702
0.2054,0.6082
0.206,0.60912
0.20658,0.6103
0.20716,0.61144
0.20772,0.61238
0.20824,0.61368
0.20862,0.61504
0.20928,0.61598
0.20988,0.61692
0.21044,0.61778
0.21096,0.6189
0.21168,0.62004
0.21232,0.6209
0.21284,0.62204
0.21346,0.62348
0.21394,0.62436
0.2144,0.62568
0.21498,0.62674
0.21556,0.62768
0.21608,0.6286
0.21668,0.63004
0.21718,0.631
0.21782,0.632
0.21838,0.63342
0.21896,0.63436
0.2197,0.63514
0.22024,0.63624
0.22088,0.63714
0.2216,0.63806
0.22222,0.63902
0.22276,0.64048
0.2233,0.64196
0.2238,0.64288
0.22438,0.64406
0.22488,0.64534
0.22542,0.6462
0.22614,0.64714
0.22672,0.64806
0.2272,0.6493
0.2278,0.65048
0.22836,0.65142
0.22884,0.65228
0.22942,0.65368
0.22998,0.65466
