----------------------------------------
chain_id_jsonl is NOT loaded
----------------------------------------
fixed_positions_jsonl is NOT loaded
----------------------------------------
pssm_jsonl is NOT loaded
----------------------------------------
omit_AA_jsonl is NOT loaded
----------------------------------------
bias_AA_jsonl is NOT loaded
----------------------------------------
tied_positions_jsonl is NOT loaded
----------------------------------------
bias by residue dictionary is not loaded, or not provided
----------------------------------------
----------------------------------------
Number of edges: 48
Training noise level: 0.2A
Score for 7xqv_B from PDB, mean: 1.4872, std: 0.0170, sample size: 5,  global score, mean: 1.4872, std: 0.0170, sample size: 5
Score for 7xqv_B_1 from FASTA, mean: 2.5198, std: 0.0165, sample size: 5,  global score, mean: 2.5198, std: 0.0165, sample size: 5
Score for 7xqv_B_2 from FASTA, mean: 2.5445, std: 0.0168, sample size: 5,  global score, mean: 2.5445, std: 0.0168, sample size: 5
Score for 7xqv_B_3 from FASTA, mean: 2.5357, std: 0.0199, sample size: 5,  global score, mean: 2.5357, std: 0.0199, sample size: 5
Score for 7xqv_B_4 from FASTA, mean: 2.5378, std: 0.0156, sample size: 5,  global score, mean: 2.5378, std: 0.0156, sample size: 5
Score for 7xqv_B_5 from FASTA, mean: 2.5599, std: 0.0081, sample size: 5,  global score, mean: 2.5599, std: 0.0081, sample size: 5
Score for 7xqv_B_6 from FASTA, mean: 2.5369, std: 0.0176, sample size: 5,  global score, mean: 2.5369, std: 0.0176, sample size: 5
Score for 7xqv_B_7 from FASTA, mean: 2.5568, std: 0.0215, sample size: 5,  global score, mean: 2.5568, std: 0.0215, sample size: 5
Score for 7xqv_B_8 from FASTA, mean: 2.5401, std: 0.0165, sample size: 5,  global score, mean: 2.5401, std: 0.0165, sample size: 5
Score for 7xqv_B_9 from FASTA, mean: 2.5461, std: 0.0251, sample size: 5,  global score, mean: 2.5461, std: 0.0251, sample size: 5
Score for 7xqv_B_10 from FASTA, mean: 2.5323, std: 0.0237, sample size: 5,  global score, mean: 2.5323, std: 0.0237, sample size: 5
Score for 7xqv_B_11 from FASTA, mean: 2.5156, std: 0.0223, sample size: 5,  global score, mean: 2.5156, std: 0.0223, sample size: 5
Score for 7xqv_B_12 from FASTA, mean: 2.5331, std: 0.0090, sample size: 5,  global score, mean: 2.5331, std: 0.0090, sample size: 5
