----------------------------------------
chain_id_jsonl is NOT loaded
----------------------------------------
fixed_positions_jsonl is NOT loaded
----------------------------------------
pssm_jsonl is NOT loaded
----------------------------------------
omit_AA_jsonl is NOT loaded
----------------------------------------
bias_AA_jsonl is NOT loaded
----------------------------------------
tied_positions_jsonl is NOT loaded
----------------------------------------
bias by residue dictionary is not loaded, or not provided
----------------------------------------
----------------------------------------
Number of edges: 48
Training noise level: 0.2A
Score for 7sah_B from PDB, mean: 1.0556, std: 0.0046, sample size: 5,  global score, mean: 1.0556, std: 0.0046, sample size: 5
Score for 7sah_B_1 from FASTA, mean: 2.2431, std: 0.0080, sample size: 5,  global score, mean: 2.2431, std: 0.0080, sample size: 5
Score for 7sah_B_2 from FASTA, mean: 2.2406, std: 0.0200, sample size: 5,  global score, mean: 2.2406, std: 0.0200, sample size: 5
Score for 7sah_B_3 from FASTA, mean: 2.2299, std: 0.0095, sample size: 5,  global score, mean: 2.2299, std: 0.0095, sample size: 5
Score for 7sah_B_4 from FASTA, mean: 2.2141, std: 0.0184, sample size: 5,  global score, mean: 2.2141, std: 0.0184, sample size: 5
Score for 7sah_B_5 from FASTA, mean: 2.2194, std: 0.0178, sample size: 5,  global score, mean: 2.2194, std: 0.0178, sample size: 5
Score for 7sah_B_6 from FASTA, mean: 2.2299, std: 0.0090, sample size: 5,  global score, mean: 2.2299, std: 0.0090, sample size: 5
Score for 7sah_B_7 from FASTA, mean: 2.2286, std: 0.0107, sample size: 5,  global score, mean: 2.2286, std: 0.0107, sample size: 5
Score for 7sah_B_8 from FASTA, mean: 2.2326, std: 0.0208, sample size: 5,  global score, mean: 2.2326, std: 0.0208, sample size: 5
Score for 7sah_B_9 from FASTA, mean: 2.2281, std: 0.0231, sample size: 5,  global score, mean: 2.2281, std: 0.0231, sample size: 5
Score for 7sah_B_10 from FASTA, mean: 2.2183, std: 0.0187, sample size: 5,  global score, mean: 2.2183, std: 0.0187, sample size: 5
Score for 7sah_B_11 from FASTA, mean: 2.2424, std: 0.0156, sample size: 5,  global score, mean: 2.2424, std: 0.0156, sample size: 5
Score for 7sah_B_12 from FASTA, mean: 2.2234, std: 0.0072, sample size: 5,  global score, mean: 2.2234, std: 0.0072, sample size: 5
Score for 7sah_B_13 from FASTA, mean: 2.2261, std: 0.0270, sample size: 5,  global score, mean: 2.2261, std: 0.0270, sample size: 5
Score for 7sah_B_14 from FASTA, mean: 2.2121, std: 0.0126, sample size: 5,  global score, mean: 2.2121, std: 0.0126, sample size: 5
Score for 7sah_B_15 from FASTA, mean: 2.2533, std: 0.0154, sample size: 5,  global score, mean: 2.2533, std: 0.0154, sample size: 5
Score for 7sah_B_16 from FASTA, mean: 2.2252, std: 0.0177, sample size: 5,  global score, mean: 2.2252, std: 0.0177, sample size: 5
Score for 7sah_B_17 from FASTA, mean: 2.2373, std: 0.0171, sample size: 5,  global score, mean: 2.2373, std: 0.0171, sample size: 5
Score for 7sah_B_18 from FASTA, mean: 2.2274, std: 0.0252, sample size: 5,  global score, mean: 2.2274, std: 0.0252, sample size: 5
Score for 7sah_B_19 from FASTA, mean: 2.2261, std: 0.0159, sample size: 5,  global score, mean: 2.2261, std: 0.0159, sample size: 5
Score for 7sah_B_20 from FASTA, mean: 2.2245, std: 0.0124, sample size: 5,  global score, mean: 2.2245, std: 0.0124, sample size: 5
Score for 7sah_B_21 from FASTA, mean: 2.2274, std: 0.0067, sample size: 5,  global score, mean: 2.2274, std: 0.0067, sample size: 5
Score for 7sah_B_22 from FASTA, mean: 2.2360, std: 0.0206, sample size: 5,  global score, mean: 2.2360, std: 0.0206, sample size: 5
Score for 7sah_B_23 from FASTA, mean: 2.2321, std: 0.0208, sample size: 5,  global score, mean: 2.2321, std: 0.0208, sample size: 5
Score for 7sah_B_24 from FASTA, mean: 2.2453, std: 0.0225, sample size: 5,  global score, mean: 2.2453, std: 0.0225, sample size: 5
Score for 7sah_B_25 from FASTA, mean: 2.2229, std: 0.0171, sample size: 5,  global score, mean: 2.2229, std: 0.0171, sample size: 5
Score for 7sah_B_26 from FASTA, mean: 2.2153, std: 0.0139, sample size: 5,  global score, mean: 2.2153, std: 0.0139, sample size: 5
Score for 7sah_B_27 from FASTA, mean: 2.2315, std: 0.0106, sample size: 5,  global score, mean: 2.2315, std: 0.0106, sample size: 5
