----------------------------------------
chain_id_jsonl is NOT loaded
----------------------------------------
fixed_positions_jsonl is NOT loaded
----------------------------------------
pssm_jsonl is NOT loaded
----------------------------------------
omit_AA_jsonl is NOT loaded
----------------------------------------
bias_AA_jsonl is NOT loaded
----------------------------------------
tied_positions_jsonl is NOT loaded
----------------------------------------
bias by residue dictionary is not loaded, or not provided
----------------------------------------
----------------------------------------
Number of edges: 48
Training noise level: 0.2A
Score for 4kro_B from PDB, mean: 1.6225, std: 0.0032, sample size: 5,  global score, mean: 1.5291, std: 0.0024, sample size: 5
Score for 4kro_B_1 from FASTA, mean: 1.9467, std: 0.0049, sample size: 5,  global score, mean: 1.7283, std: 0.0050, sample size: 5
Score for 4kro_B_2 from FASTA, mean: 1.9457, std: 0.0108, sample size: 5,  global score, mean: 1.7283, std: 0.0113, sample size: 5
Score for 4kro_B_3 from FASTA, mean: 1.9462, std: 0.0209, sample size: 5,  global score, mean: 1.7296, std: 0.0134, sample size: 5
Score for 4kro_B_4 from FASTA, mean: 1.9422, std: 0.0098, sample size: 5,  global score, mean: 1.7259, std: 0.0088, sample size: 5
Score for 4kro_B_5 from FASTA, mean: 1.9406, std: 0.0114, sample size: 5,  global score, mean: 1.7218, std: 0.0095, sample size: 5
Score for 4kro_B_6 from FASTA, mean: 1.9522, std: 0.0100, sample size: 5,  global score, mean: 1.7312, std: 0.0049, sample size: 5
Score for 4kro_B_7 from FASTA, mean: 1.9558, std: 0.0071, sample size: 5,  global score, mean: 1.7326, std: 0.0058, sample size: 5
Score for 4kro_B_8 from FASTA, mean: 1.9437, std: 0.0094, sample size: 5,  global score, mean: 1.7285, std: 0.0081, sample size: 5
Score for 4kro_B_9 from FASTA, mean: 1.9357, std: 0.0075, sample size: 5,  global score, mean: 1.7176, std: 0.0058, sample size: 5
Score for 4kro_B_10 from FASTA, mean: 1.9403, std: 0.0080, sample size: 5,  global score, mean: 1.7248, std: 0.0055, sample size: 5
